N,P,K,temperature,humidity,ph,rainfall,label
110.54,57.04,59.3,16.95,73.94,6.33,79.72,Cauliflower
66.8,35.48,66.79,20.42,54.51,6.81,59.9,Carrot
81.8,56.55,84.54,26.61,84.67,5.85,172.83,Pineapple
60.91,31.81,38.42,14.8,46.9,6.41,42.35,Mustard
109.36,69.93,92.87,31.5,72.18,6.27,164.14,Mango
87.66,38.26,42.03,32.35,58.39,6.54,151.25,Maize
75.65,37.55,21.97,19.55,53.75,6.97,40.95,Barley
87.41,58.52,104.54,31.32,55.66,6.19,121.16,Orange
23.81,29.92,39.13,28.68,53.51,7.09,142.42,Red Gram
51.09,25.9,30.2,32.95,61.97,6.75,121.03,Red Gram
71.8,27.19,70.47,31.23,68.91,6.64,65.39,Bottle Gourd
110.59,59.12,101.71,13.28,71.54,5.67,74.21,Potato
86.58,40.27,57.12,19.81,82.01,5.23,153.23,Coffee
79.25,55.8,104.45,31.15,82.28,6.07,195.43,Litchi
101.9,56.13,99.8,19.57,65.63,5.49,61.01,Potato
35.87,38.41,39.71,32.8,70.77,7.15,65.27,Black Gram
41.9,35.96,34.24,19.07,41.88,6.24,122.62,Red Gram
28.17,33.96,30.08,26.68,54.26,6.45,98.75,Niger Seed
88.02,61.13,46.34,29.96,68.86,7.08,75.87,Brinjal
55.96,35.68,63.77,33.87,62.87,6.83,67.99,Bottle Gourd
63.76,40.41,39.77,25.77,67.37,6.49,77.87,Cucumber
51.48,32.15,31.83,21.44,49.43,6.91,69.32,Chickpea
77.76,44.22,66.41,18.24,63.06,6.11,118.52,Apple
50.81,27.87,60.64,18.14,61.41,6.8,49.79,Beetroot
77.43,51.86,35.34,27.97,52.78,6.99,55.14,Okra
91.65,58.19,96.85,20.3,67.15,6.13,74.65,Potato
41.65,37.96,33.88,30.13,49.05,6.78,40.68,Pearl Millet
74.2,34.53,33.53,18.17,60.03,6.12,68.71,Barley
72.18,28.31,28.62,26.04,51.96,6.57,71.08,Castor
47.49,28.34,32.59,25.85,62.31,7.01,70.45,Soybean
58.89,25.29,26.79,20.62,55.47,6.24,63.33,Radish
58.83,28.37,36.76,26.58,56.11,5.88,116.68,Soybean
97.71,46.54,84.71,21.02,77.6,5.57,225.18,Pineapple
43.87,31.79,30.49,23.34,68.35,6.33,97.96,Niger Seed
44.8,32.96,29.85,26.12,60.71,7.45,95.94,Little Millet
96.08,41.01,32.55,14.21,65.22,7.1,57.64,Wheat
52.36,28.97,30.81,29.64,78.69,6.34,74.0,Finger Millet
89.66,40.03,35.28,20.76,57.64,6.46,68.93,Wheat
95.44,64.0,44.24,22.95,61.17,6.57,78.27,Chilli
33.22,29.08,38.01,31.75,54.52,6.27,71.92,Cowpea
77.5,43.87,41.18,21.68,59.86,7.03,46.02,Garlic
98.8,76.9,82.34,29.17,82.06,4.76,288.43,Rubber
53.68,35.39,34.58,23.87,67.6,7.27,116.76,Finger Millet
106.73,47.06,91.87,26.21,61.14,6.52,73.21,Grapes
27.91,31.82,31.08,30.06,59.22,6.2,53.47,Sesame
29.08,29.98,27.84,30.55,50.05,5.57,66.0,Cowpea
68.0,52.38,103.67,28.77,50.88,6.79,87.24,Grapes
97.72,58.27,99.29,20.38,61.98,5.48,51.97,Potato
61.5,30.29,57.33,26.74,66.23,6.36,73.54,Pumpkin
79.21,36.7,44.0,24.26,67.42,5.88,86.84,Maize
22.88,32.31,34.36,27.37,52.19,7.26,84.81,Green Gram
52.12,32.17,34.52,35.35,39.19,7.26,67.96,Pearl Millet
83.94,52.48,94.14,32.09,80.72,6.46,197.75,Coconut
97.2,79.59,51.32,24.11,51.97,6.9,74.18,Chilli
48.28,35.19,28.06,31.1,67.35,7.23,70.73,Black Gram
63.31,22.85,22.4,19.07,60.13,6.71,50.18,Mustard
65.07,25.66,53.72,27.83,65.68,6.28,88.68,Pumpkin
54.14,37.93,29.33,30.37,56.06,6.45,78.26,Sorghum
36.21,30.94,30.43,31.43,54.67,6.13,88.05,Sesame
73.69,39.55,74.7,22.74,72.6,6.02,162.66,Litchi
54.82,64.39,55.95,21.82,56.83,6.86,57.58,Garlic
158.1,68.18,136.06,29.92,79.87,6.54,134.77,Banana
67.28,31.84,47.18,32.53,52.16,6.81,58.81,Pearl Millet
99.8,48.53,28.18,22.06,39.83,7.0,73.85,Wheat
43.97,33.06,27.96,22.28,54.73,6.45,57.55,Linseed
58.29,33.6,23.26,27.47,48.62,6.23,50.7,Sorghum
73.58,39.67,32.35,37.41,35.78,7.5,50.49,Pearl Millet
34.1,30.01,28.62,26.74,43.62,6.36,69.56,Horse Gram
72.02,29.21,26.48,31.28,58.85,7.31,123.52,Red Gram
89.7,36.18,78.92,28.28,71.81,6.36,125.75,Guava
71.21,27.61,21.71,25.52,44.06,7.45,80.4,Sorghum
31.8,24.84,26.93,28.27,49.98,6.09,60.8,Horse Gram
34.53,25.12,36.91,33.75,60.87,6.31,70.99,Black Gram
78.7,32.2,33.71,26.33,57.61,6.25,145.77,Maize
76.46,28.5,47.44,29.86,71.92,6.35,93.88,Bottle Gourd
39.07,26.45,35.2,27.15,68.63,6.14,93.32,Soybean
57.85,26.4,27.35,27.42,31.79,6.47,41.08,Sorghum
27.87,35.62,28.71,34.06,38.83,6.2,82.37,Horse Gram
45.17,33.41,36.86,27.98,69.45,6.67,81.03,Black Gram
59.57,21.55,34.58,32.71,44.77,6.27,111.74,Castor
90.69,57.63,109.74,29.79,55.93,6.82,103.23,Grapes
104.1,38.17,92.9,29.43,73.07,7.52,114.04,Orange
74.87,50.91,83.82,32.45,41.44,5.96,70.37,Pomegranate
55.53,60.3,59.02,28.36,54.51,5.5,101.73,Pomegranate
106.13,49.75,89.41,25.55,54.08,6.31,120.75,Guava
31.22,41.07,53.24,32.61,72.44,6.26,189.29,Cashew
65.02,47.41,50.99,14.44,55.57,6.69,49.91,Garlic
92.69,49.0,89.61,31.94,64.31,6.93,72.73,Grapes
104.04,48.91,102.53,28.07,77.52,7.08,122.65,Coconut
51.52,27.84,33.19,23.99,56.1,5.96,86.89,Little Millet
74.41,27.87,27.18,24.67,57.72,6.81,61.46,Sunflower
56.05,29.58,54.01,32.4,63.92,5.53,200.85,Cashew
86.59,74.51,104.49,30.54,77.04,5.72,159.18,Mango
86.08,45.3,31.76,19.15,39.5,6.56,63.43,Barley
35.11,30.44,17.63,29.0,62.24,6.9,74.4,Field Bean
49.17,40.9,28.56,22.05,49.28,6.8,80.39,Castor
41.36,28.87,30.38,26.57,41.44,6.68,85.03,Foxtail Millet
98.81,33.93,110.48,21.07,67.17,7.27,171.06,Orange
80.71,48.0,66.67,19.94,63.86,6.12,86.94,Pomegranate
96.75,52.63,66.42,31.49,69.79,6.38,69.68,Onion
27.48,30.85,27.4,21.69,41.8,6.86,102.47,Field Bean
77.67,50.09,47.51,29.01,66.31,7.11,66.8,Cucumber
72.2,50.78,45.94,24.95,68.48,6.5,67.5,Cucumber
71.78,41.11,74.5,31.24,70.92,6.07,59.34,Pumpkin
51.66,26.77,28.35,34.0,42.06,6.36,80.01,Foxtail Millet
121.42,57.56,58.05,28.52,79.07,6.33,253.02,Rice
56.83,44.7,67.88,21.2,61.16,6.47,68.11,Onion
55.92,36.29,69.21,21.6,62.4,6.24,85.97,Carrot
39.85,32.45,29.34,26.16,45.79,6.54,63.92,Field Bean
65.19,28.48,65.56,21.96,54.97,6.76,33.71,Carrot
51.92,32.87,24.66,28.77,51.17,6.24,75.36,Cowpea
108.6,46.16,42.45,21.18,78.33,6.09,66.07,Cauliflower
49.48,26.97,28.58,34.3,39.28,5.46,84.19,Groundnut
51.66,37.17,45.4,25.65,67.34,6.93,61.8,Soybean
64.05,41.29,45.87,21.53,73.4,5.59,200.61,Coffee
54.1,42.3,51.23,24.98,78.08,5.65,120.93,Cucumber
43.14,27.0,21.88,19.9,49.25,6.87,27.26,Lentil
46.39,33.27,40.35,28.76,75.49,6.88,74.52,Cucumber
80.86,43.9,56.65,19.82,62.99,6.53,72.81,Cabbage
49.93,21.04,60.7,20.45,63.9,6.35,39.59,Carrot
97.54,39.95,51.51,28.18,51.79,6.63,65.66,Chilli
102.81,51.4,106.68,30.31,74.99,7.91,231.68,Coconut
64.98,27.35,46.82,29.98,70.94,6.67,44.94,Bottle Gourd
69.78,25.28,32.19,20.59,55.37,6.82,59.54,Radish
87.99,45.51,55.76,22.11,77.27,6.54,79.82,Cauliflower
81.09,53.07,60.62,20.23,69.41,6.6,74.88,Cabbage
47.64,31.15,30.47,28.91,52.83,6.14,37.88,Sorghum
91.77,45.99,70.41,23.44,80.75,5.07,144.87,Tea
65.63,49.74,64.05,19.27,68.2,6.82,90.52,Cauliflower
84.89,54.14,77.45,35.65,61.99,7.42,71.22,Pomegranate
58.25,33.29,42.28,20.8,57.98,6.72,43.2,Radish
98.22,60.5,78.25,23.78,77.79,6.32,70.88,Tomato
62.41,47.46,80.54,19.27,60.33,6.4,116.95,Orange
63.26,30.67,28.07,29.15,66.19,6.47,49.38,Pearl Millet
87.91,26.75,56.77,24.22,64.24,7.14,62.85,Beetroot
70.86,35.63,54.24,14.92,55.57,6.52,38.32,Garlic
20.74,28.44,27.47,30.44,58.77,6.53,75.09,Sesame
42.61,33.45,28.64,23.15,50.22,6.51,46.15,Lentil
32.31,29.86,25.32,23.15,46.8,6.46,49.09,Linseed
44.51,33.66,35.84,33.1,44.06,5.95,58.51,Cowpea
91.4,44.75,81.46,26.67,78.92,5.08,246.23,Pineapple
41.8,38.75,16.87,30.2,58.07,6.84,55.63,Black Gram
109.83,45.77,54.28,29.84,79.33,5.58,179.9,Rice
86.32,45.74,44.59,30.62,84.6,6.1,194.76,Rice
89.97,44.44,86.25,26.22,69.61,6.18,131.49,Litchi
36.34,31.74,30.82,28.28,61.5,6.35,63.64,Cowpea
81.38,54.74,50.22,26.34,58.73,6.17,48.53,Onion
61.4,44.67,49.12,22.61,63.18,7.19,68.64,Cucumber
105.01,53.26,59.13,27.04,86.77,5.15,215.69,Tea
64.08,34.22,54.22,30.46,75.99,6.32,220.36,Cashew
38.49,37.43,35.8,28.9,51.21,7.61,57.68,Red Gram
105.29,75.02,126.86,32.57,81.33,6.57,169.24,Banana
91.83,70.03,97.54,29.97,79.04,5.58,255.74,Rubber
58.9,25.71,24.07,26.73,65.6,6.27,80.74,Sunflower
32.14,29.28,35.12,27.82,53.48,7.23,70.76,Horse Gram
74.33,41.74,50.19,30.94,75.8,6.05,255.7,Rice
40.63,32.26,28.63,15.48,44.75,6.7,59.54,Chickpea
79.04,28.45,60.78,20.23,64.27,6.2,48.13,Carrot
43.02,29.21,35.25,25.17,54.13,5.89,91.5,Little Millet
22.07,35.69,28.62,31.16,65.22,6.11,63.3,Horse Gram
37.55,27.96,25.83,33.31,39.23,7.25,79.66,Groundnut
98.97,51.51,107.53,24.12,81.99,6.66,193.11,Coconut
97.71,54.4,115.99,30.63,80.62,6.25,217.5,Coconut
61.42,46.45,31.75,25.93,62.07,6.73,50.39,Okra
57.7,34.58,25.12,18.42,59.68,7.19,47.4,Radish
32.94,31.9,28.37,20.62,47.0,6.9,48.49,Lentil
36.99,29.5,25.39,20.45,58.77,7.0,43.35,Peas
106.48,53.36,56.25,23.6,75.22,6.09,93.05,Brinjal
104.91,47.76,102.06,23.88,70.03,6.47,127.65,Papaya
107.52,50.58,60.88,22.2,72.23,6.29,71.72,Cabbage
61.35,17.84,28.26,31.36,63.08,5.96,81.45,Sorghum
95.59,80.36,88.91,20.59,71.49,6.87,112.98,Orange
60.45,27.89,39.68,30.26,73.32,5.63,104.88,Cashew
100.42,55.67,111.87,18.43,71.5,6.92,149.11,Orange
26.81,40.83,31.53,29.58,48.03,5.98,48.53,Sesame
50.87,28.44,31.74,22.54,74.54,6.56,90.22,Soybean
91.42,58.0,46.06,18.87,70.16,6.74,65.32,Cabbage
54.51,37.63,25.84,28.09,45.03,6.55,82.18,Castor
84.79,46.11,66.45,22.07,75.79,5.67,187.59,Coffee
54.6,43.44,57.76,26.36,83.42,6.22,107.7,Okra
20.96,30.2,27.03,19.39,60.29,6.2,36.28,Radish
64.49,29.41,34.56,27.58,49.94,6.47,61.79,Sunflower
85.12,38.66,24.56,13.42,63.37,6.32,53.44,Barley
48.56,46.37,37.81,28.49,61.45,6.18,66.77,Brinjal
40.68,29.14,23.53,28.58,58.13,6.14,97.37,Foxtail Millet
98.44,48.28,26.01,23.13,62.1,6.89,111.53,Maize
95.29,47.58,49.71,31.56,62.55,6.8,89.85,Chilli
40.66,30.7,34.4,22.33,54.44,7.48,70.92,Safflower
28.36,27.35,21.77,23.89,45.52,7.39,112.02,Field Bean
124.79,42.59,77.34,18.33,65.07,6.97,99.11,Cabbage
47.91,25.65,37.42,26.83,65.14,6.75,79.52,Kodo Millet
75.52,48.55,76.66,22.55,64.22,7.03,41.9,Cauliflower
47.71,24.39,33.26,19.58,55.56,6.65,67.49,Lentil
37.29,28.42,34.19,26.72,62.68,6.39,119.4,Kodo Millet
31.34,36.88,32.64,24.8,42.19,7.18,78.13,Field Bean
83.21,41.84,86.09,25.31,73.89,4.83,246.25,Pineapple
31.68,38.46,22.24,20.23,52.11,6.85,44.72,Chickpea
122.15,77.73,120.19,27.34,78.1,7.01,116.81,Banana
40.31,28.83,23.17,27.86,62.11,7.58,69.91,Red Gram
53.25,28.06,54.4,28.28,66.25,7.12,106.93,Pumpkin
90.17,39.43,30.47,20.27,58.2,6.85,60.67,Wheat
34.14,29.58,39.61,19.38,60.23,6.87,91.22,Rajma
68.06,33.19,35.39,33.79,73.7,7.1,62.56,Okra
105.42,52.14,48.88,20.08,83.29,5.17,142.09,Tea
31.78,29.08,34.1,32.03,48.12,6.32,72.23,Sesame
98.19,77.11,90.8,32.42,86.44,6.13,293.51,Rubber
29.49,37.58,29.75,29.74,46.88,6.55,56.07,Horse Gram
43.31,39.85,35.91,24.27,46.75,6.58,58.57,Linseed
36.79,34.23,28.06,36.24,61.99,6.72,56.91,Sorghum
84.92,46.21,64.58,17.42,60.67,6.29,120.7,Apple
33.25,24.61,32.48,29.97,58.82,7.12,39.29,Green Gram
76.39,54.85,65.3,26.24,85.66,5.17,216.04,Coffee
92.74,45.03,86.94,32.38,69.22,7.2,65.08,Grapes
91.19,39.53,87.68,25.78,49.24,5.85,85.22,Pomegranate
79.56,45.23,29.46,13.28,58.95,6.58,72.42,Wheat
89.01,52.58,106.0,21.62,65.4,5.71,67.19,Potato
79.86,68.17,78.99,21.07,52.12,6.9,71.66,Chilli
39.79,28.85,25.15,33.89,65.41,6.04,85.05,Cowpea
86.49,71.32,76.64,31.72,82.18,5.93,319.94,Rubber
56.91,41.45,27.88,23.82,66.02,6.67,96.79,Little Millet
35.93,32.59,35.12,23.01,58.86,7.16,88.41,Castor
30.86,30.59,20.27,24.12,47.29,7.62,57.31,Niger Seed
48.42,24.76,30.1,29.78,60.41,6.42,119.8,Little Millet
54.45,36.76,32.21,27.01,43.65,5.85,60.26,Little Millet
87.85,37.26,32.87,25.05,41.06,6.35,60.26,Wheat
56.34,30.68,35.16,29.21,62.97,5.63,107.0,Finger Millet
75.13,34.02,30.77,28.15,52.21,6.52,74.36,Groundnut
106.49,52.69,42.24,18.3,68.64,6.51,79.51,Cauliflower
53.6,34.08,34.02,25.66,61.22,7.1,125.15,Soybean
59.96,33.89,68.7,27.97,63.31,6.62,61.21,Bottle Gourd
30.96,26.03,22.72,28.83,58.91,6.65,72.2,Cowpea
37.44,36.53,23.68,27.92,57.37,7.12,89.91,Kodo Millet
58.02,38.23,35.52,35.02,31.55,5.95,55.1,Pearl Millet
133.58,71.29,154.73,30.47,89.05,6.99,178.46,Banana
32.62,22.79,24.7,26.14,65.93,7.31,73.94,Black Gram
101.79,45.81,55.64,29.53,79.0,6.17,263.51,Rice
106.0,48.13,84.37,29.87,92.81,6.16,274.5,Rubber
32.34,38.63,29.43,21.13,55.42,7.16,54.62,Chickpea
90.53,43.35,79.84,28.69,51.21,6.82,41.32,Pomegranate
96.21,56.99,116.53,16.54,73.17,6.12,67.81,Potato
126.94,54.35,60.28,21.86,84.51,4.84,168.24,Tea
24.18,25.67,27.57,19.14,47.42,7.72,71.44,Chickpea
56.12,24.43,57.53,30.56,71.98,7.07,49.0,Bottle Gourd
69.08,44.17,62.74,18.46,54.85,7.26,39.02,Garlic
130.26,67.13,113.04,32.46,84.53,6.8,210.63,Banana
89.99,45.16,63.5,25.24,88.69,5.3,202.07,Tea
53.14,26.7,32.76,25.95,69.94,6.47,76.32,Niger Seed
35.53,27.0,26.42,18.1,53.73,6.05,50.0,Linseed
35.84,32.9,32.11,28.61,66.89,7.13,127.37,Red Gram
85.48,41.12,92.28,25.68,60.06,5.84,80.74,Pomegranate
70.32,18.96,57.87,15.72,52.78,5.96,38.92,Carrot
61.2,31.96,19.77,23.65,55.12,6.52,83.57,Sunflower
104.8,37.95,51.13,24.21,85.31,6.41,240.27,Rice
29.8,30.63,19.16,29.8,41.73,6.94,78.06,Sesame
103.83,41.42,65.68,26.53,76.95,6.64,222.82,Arecanut
88.39,52.77,44.24,20.68,68.44,6.44,65.23,Cauliflower
41.65,31.46,31.18,18.06,56.91,6.32,82.87,Rajma
29.1,22.94,39.86,28.77,42.64,6.88,71.08,Horse Gram
94.68,72.14,72.86,20.94,65.52,6.43,82.13,Tomato
28.81,30.67,30.94,27.88,44.97,6.07,74.07,Cowpea
35.22,41.58,30.33,27.49,53.15,6.61,76.17,Cowpea
98.39,69.98,54.26,24.12,64.42,7.01,99.95,Chilli
54.7,29.98,27.33,22.06,53.67,6.71,107.69,Soybean
48.86,27.57,34.14,22.96,71.99,6.39,141.28,Finger Millet
40.01,25.66,26.57,25.5,52.64,6.62,85.83,Cowpea
75.34,31.54,56.46,22.74,68.38,6.37,59.17,Carrot
79.68,53.37,54.85,23.45,56.79,6.62,57.06,Onion
80.36,56.16,70.76,31.89,60.36,6.71,89.92,Chilli
97.12,42.2,85.24,11.32,60.87,6.43,129.56,Apple
74.1,45.58,79.67,26.98,75.83,4.97,212.05,Pineapple
58.22,28.3,63.03,30.66,72.94,7.21,84.66,Bottle Gourd
74.27,45.2,79.17,15.61,69.38,5.53,122.72,Apple
28.55,32.24,29.81,22.93,53.62,6.1,78.32,Niger Seed
115.42,53.24,92.07,24.85,77.49,6.16,268.21,Arecanut
28.01,26.03,29.15,26.5,49.21,7.5,99.73,Field Bean
65.61,41.83,31.59,13.26,40.77,6.9,62.34,Wheat
36.61,23.67,36.05,23.91,64.46,6.11,105.66,Niger Seed
56.95,24.05,24.59,40.3,50.42,6.41,34.18,Pearl Millet
75.86,34.75,87.9,18.94,65.81,6.2,104.67,Apple
95.8,75.9,124.46,33.01,58.86,6.51,142.05,Mango
63.4,34.74,69.93,18.28,64.51,6.96,79.25,Carrot
88.81,50.91,102.0,23.44,68.55,5.58,59.01,Potato
56.55,43.09,85.01,25.12,63.74,6.23,93.94,Guava
97.05,48.51,99.07,19.26,75.89,5.9,55.16,Potato
81.78,52.29,82.87,27.89,65.06,6.25,157.13,Guava
85.07,35.51,30.21,16.21,67.36,5.77,81.64,Wheat
53.86,26.9,35.73,28.54,69.96,6.15,67.04,Kodo Millet
77.04,22.22,52.5,22.21,67.6,6.58,71.98,Beetroot
67.0,34.12,42.52,28.75,47.37,7.42,73.35,Sunflower
77.26,52.16,84.11,19.87,76.93,6.57,78.86,Cabbage
46.75,35.44,17.38,27.34,58.14,6.85,69.64,Groundnut
29.04,36.46,24.14,25.56,48.06,7.35,80.55,Horse Gram
40.81,35.54,31.88,30.31,60.18,5.77,70.88,Foxtail Millet
18.89,35.65,30.26,30.38,61.95,6.49,97.68,Red Gram
24.95,40.47,37.72,29.23,51.31,6.43,82.77,Horse Gram
39.32,28.77,20.1,25.7,50.46,6.63,73.85,Field Bean
90.43,50.94,103.11,23.27,67.67,6.65,107.21,Guava
32.15,39.97,29.27,31.5,45.6,6.17,62.09,Horse Gram
32.07,28.32,33.56,21.13,56.91,5.66,52.57,Horse Gram
103.4,70.44,96.39,24.12,72.12,6.19,61.24,Potato
82.75,47.01,71.03,26.24,69.24,7.15,74.92,Brinjal
111.75,64.2,81.22,30.12,82.28,6.34,326.29,Rubber
107.51,51.31,113.33,28.09,70.5,6.24,163.3,Papaya
51.26,33.81,28.21,10.49,56.57,6.74,66.16,Peas
96.1,50.5,108.95,29.45,83.58,6.16,244.26,Coconut
62.54,47.5,87.02,24.95,79.13,6.0,272.33,Pineapple
45.11,28.82,29.71,29.44,56.8,6.58,75.14,Green Gram
109.55,65.98,111.22,32.9,52.6,5.47,132.44,Mango
41.33,30.91,31.05,20.03,68.4,6.57,42.03,Radish
44.15,28.41,31.48,29.39,50.26,7.35,88.79,Castor
34.61,33.15,33.25,26.52,54.64,6.84,47.74,Sesame
36.92,30.57,36.71,22.94,60.94,6.87,83.82,Niger Seed
75.48,51.9,77.28,25.78,74.77,5.54,181.46,Coffee
92.71,69.73,104.37,28.8,69.21,6.24,115.45,Mango
43.38,37.13,30.08,31.56,55.46,6.63,72.46,Green Gram
57.14,18.68,26.92,34.61,69.56,6.62,62.57,Green Gram
46.59,31.67,33.94,19.08,66.47,7.48,46.44,Radish
99.1,68.85,70.81,25.16,53.7,6.23,64.62,Tomato
31.02,33.6,30.13,24.61,60.8,5.75,63.14,Cowpea
90.3,49.83,81.58,26.46,75.19,6.49,285.6,Arecanut
103.06,55.32,90.65,34.41,59.27,6.62,127.5,Orange
101.18,61.76,107.45,18.15,70.08,5.54,57.52,Potato
35.8,23.07,29.92,15.26,45.66,7.1,59.77,Chickpea
95.57,56.55,99.51,27.61,82.16,5.41,285.0,Rubber
43.38,31.91,63.61,32.89,68.19,6.64,223.1,Cashew
35.92,31.99,29.35,23.43,59.46,6.88,79.63,Field Bean
105.69,46.34,101.77,27.08,54.26,7.07,87.31,Grapes
107.22,52.02,78.03,20.3,76.11,4.82,216.99,Tea
57.96,28.49,34.46,25.25,42.44,6.71,69.1,Green Gram
83.68,56.79,92.92,28.26,72.11,8.11,112.97,Guava
35.12,31.83,30.35,21.74,54.38,5.34,108.68,Niger Seed
53.35,24.95,66.49,22.5,74.3,6.11,86.63,Pumpkin
101.23,54.47,88.98,23.09,81.14,6.19,230.01,Arecanut
61.32,40.26,43.35,31.69,58.03,6.98,72.42,Okra
76.48,42.32,65.93,28.99,80.11,5.92,186.06,Litchi
35.13,25.84,22.78,30.16,63.38,6.59,80.49,Horse Gram
42.39,26.03,33.09,29.11,60.12,6.56,56.0,Green Gram
88.85,70.64,65.11,33.54,63.53,6.94,73.68,Chilli
88.57,61.33,47.61,34.72,51.83,7.71,53.28,Chilli
48.07,31.91,37.31,29.04,53.47,6.31,89.63,Foxtail Millet
37.99,36.95,29.96,29.62,71.28,7.27,82.33,Red Gram
44.06,29.33,29.91,31.38,62.15,6.65,53.09,Groundnut
32.91,30.83,28.06,16.2,49.44,6.73,51.47,Peas
83.76,27.21,25.99,17.42,66.17,7.09,57.98,Barley
50.68,37.49,29.37,31.12,64.96,6.33,84.08,Black Gram
53.16,27.71,32.37,16.58,45.21,6.34,55.18,Mustard
71.27,37.56,30.91,30.69,36.03,7.18,113.85,Sorghum
38.55,33.94,36.74,31.19,52.15,6.48,76.94,Green Gram
71.59,51.16,51.07,29.1,63.43,7.07,57.8,Okra
63.7,47.59,49.99,29.95,68.11,6.56,73.98,Cucumber
26.17,33.13,29.64,22.64,60.44,6.79,96.26,Field Bean
43.42,26.37,32.15,31.17,68.81,6.68,96.01,Black Gram
78.44,48.3,47.98,30.38,61.85,6.77,73.8,Okra
88.4,48.61,65.16,17.29,69.07,6.07,66.83,Cabbage
49.82,35.47,32.04,25.2,69.07,5.48,121.42,Finger Millet
102.31,74.26,108.31,25.01,63.24,6.1,201.61,Mango
67.93,28.57,70.37,20.7,61.86,6.26,67.56,Carrot
78.67,24.41,65.84,19.44,73.12,6.91,52.18,Garlic
54.53,35.92,64.69,27.61,64.72,6.63,57.46,Pumpkin
37.9,37.36,26.75,26.52,61.18,6.45,105.08,Niger Seed
58.84,23.69,73.1,30.29,76.68,7.15,54.37,Bottle Gourd
66.99,28.65,24.1,20.05,43.49,7.33,59.6,Chickpea
61.45,30.66,60.53,22.82,69.86,6.8,48.31,Pomegranate
76.13,51.1,68.4,19.35,60.26,6.74,62.32,Cauliflower
32.01,31.62,24.37,29.11,72.86,6.88,93.65,Castor
30.06,21.67,25.26,9.79,61.34,6.26,60.03,Peas
72.02,45.43,37.17,36.02,74.52,6.7,61.4,Okra
42.94,27.69,29.28,11.27,50.18,6.93,55.04,Peas
43.35,22.4,27.95,25.03,57.18,6.8,88.42,Groundnut
25.08,32.99,31.81,21.73,53.44,6.44,79.3,Horse Gram
49.08,30.27,27.56,19.58,45.8,6.52,49.55,Mustard
60.01,45.89,69.61,28.04,52.66,6.88,103.9,Guava
85.13,63.25,68.95,28.27,70.0,5.73,94.61,Brinjal
84.77,43.8,33.9,25.4,72.19,6.34,71.0,Maize
99.45,48.04,81.77,32.03,96.8,6.03,280.68,Rubber
50.82,30.5,38.81,26.59,64.84,7.07,66.1,Sunflower
38.89,36.44,33.66,22.38,40.09,6.9,58.6,Horse Gram
53.8,21.4,36.83,26.92,47.2,6.59,77.19,Groundnut
64.54,27.97,74.02,29.09,64.01,6.33,120.81,Cashew
33.8,24.98,30.11,15.48,41.84,5.9,67.92,Linseed
54.22,23.63,26.55,28.21,51.75,6.72,95.62,Castor
64.03,29.96,56.57,30.83,69.73,6.82,76.2,Bottle Gourd
91.22,38.93,63.91,24.91,76.58,6.51,83.57,Tomato
73.53,32.67,30.1,13.78,59.53,6.54,48.02,Mustard
26.31,27.9,30.28,16.47,53.4,7.3,43.24,Safflower
70.48,28.36,18.95,24.93,43.57,6.43,49.94,Pearl Millet
101.6,44.29,51.98,37.63,83.61,6.27,233.15,Rice
71.4,48.76,57.12,22.45,64.02,6.77,60.24,Onion
53.59,28.08,64.13,22.96,74.83,6.53,84.36,Bottle Gourd
101.52,62.08,100.52,19.79,69.61,6.02,78.03,Potato
42.7,28.6,28.51,25.95,54.15,7.3,121.62,Field Bean
120.57,62.67,120.99,30.34,78.71,6.31,135.28,Banana
29.01,25.18,31.52,25.57,51.8,6.63,75.13,Horse Gram
62.13,34.54,33.75,25.69,62.67,6.54,62.48,Radish
74.1,27.75,54.19,26.71,76.32,6.41,74.33,Bottle Gourd
51.29,32.75,46.11,23.6,74.13,6.71,88.75,Bottle Gourd
98.23,53.68,53.1,20.86,58.89,6.74,64.37,Onion
69.05,41.78,34.16,16.08,46.46,7.75,49.77,Barley
65.06,42.55,20.85,27.68,79.39,6.56,102.16,Maize
76.79,53.33,38.63,33.06,66.87,6.85,82.87,Okra
32.19,29.81,38.52,28.92,39.98,5.69,77.72,Cowpea
62.94,20.07,27.97,29.94,41.22,7.04,76.71,Castor
111.29,43.92,48.57,30.42,77.55,5.84,228.3,Rice
99.08,40.91,20.52,17.65,59.13,6.95,91.24,Wheat
93.79,50.99,86.51,19.64,62.8,6.5,69.22,Cauliflower
34.94,28.96,28.26,20.57,50.01,7.59,44.39,Peas
42.88,39.12,21.21,25.99,75.61,6.8,83.92,Soybean
103.42,49.73,80.11,26.49,81.1,4.87,190.99,Tea
29.89,35.09,21.08,12.24,37.65,6.99,85.46,Peas
101.39,54.74,61.92,27.59,87.23,6.59,220.44,Arecanut
34.35,21.37,26.45,16.84,52.82,6.72,59.06,Peas
77.02,50.17,61.36,19.88,60.28,6.08,63.9,Onion
42.39,29.39,30.62,17.67,58.17,6.24,79.38,Rajma
55.66,25.85,29.77,25.7,64.19,6.84,97.49,Soybean
93.79,49.59,106.45,30.55,79.43,6.75,248.2,Coconut
84.75,33.5,29.84,32.47,54.23,6.2,54.63,Pearl Millet
